Trade Date,Underlying,Product Type,Exchange,Volume
2010/08/30,SPX,I,CBOE,2107694
2010/09/06,SPX,I,CBOE,2532506
2010/09/13,SPX,I,CBOE,4532306
2010/09/20,SPX,I,CBOE,2735057
2010/09/27,SPX,I,CBOE,2344136
2010/10/04,SPX,I,CBOE,2809673
2010/10/11,SPX,I,CBOE,4145112
2010/10/18,SPX,I,CBOE,3042671
2010/10/25,SPX,I,CBOE,2630145
2010/11/01,SPX,I,CBOE,3432996
2010/11/08,SPX,I,CBOE,2841612
2010/11/15,SPX,I,CBOE,4267758
2010/11/22,SPX,I,CBOE,1696128
2010/11/29,SPX,I,CBOE,2940186
2010/12/06,SPX,I,CBOE,3426683
2010/12/13,SPX,I,CBOE,3285699
2010/12/20,SPX,I,CBOE,1728508
2010/12/27,SPX,I,CBOE,1312377
2011/01/03,SPX,I,CBOE,2921267
2011/01/10,SPX,I,CBOE,2781929
2011/01/17,SPX,I,CBOE,3521105
2011/01/24,SPX,I,CBOE,3069764
2011/01/31,SPX,I,CBOE,2775375
2011/02/07,SPX,I,CBOE,2915688
2011/02/14,SPX,I,CBOE,3948221
2011/02/21,SPX,I,CBOE,2679703
2011/02/28,SPX,I,CBOE,3084691
2011/03/07,SPX,I,CBOE,3187216
2011/03/14,SPX,I,CBOE,5619991
2011/03/21,SPX,I,CBOE,2950323
2011/03/28,SPX,I,CBOE,2660586
2011/04/04,SPX,I,CBOE,2583775
2011/04/11,SPX,I,CBOE,3555326
2011/04/18,SPX,I,CBOE,2424163
2011/04/25,SPX,I,CBOE,2617038
2011/05/02,SPX,I,CBOE,2728744
2011/05/09,SPX,I,CBOE,2454608
2011/05/16,SPX,I,CBOE,4172111
2011/05/23,SPX,I,CBOE,2866582
2011/05/30,SPX,I,CBOE,2615468
2011/06/06,SPX,I,CBOE,3972055
2011/06/13,SPX,I,CBOE,5260836
2011/06/20,SPX,I,CBOE,3281334
2011/06/27,SPX,I,CBOE,4114978
2011/07/04,SPX,I,CBOE,3173467
2011/07/11,SPX,I,CBOE,4511033
2011/07/18,SPX,I,CBOE,3181906
2011/07/25,SPX,I,CBOE,3341558
2011/08/01,SPX,I,CBOE,7148015
2011/08/08,SPX,I,CBOE,8279761
2011/08/15,SPX,I,CBOE,6638905
2011/08/22,SPX,I,CBOE,4256129
2011/08/29,SPX,I,CBOE,4644641
2011/09/05,SPX,I,CBOE,4313852
2011/09/12,SPX,I,CBOE,5757849
2011/09/19,SPX,I,CBOE,4333731
2011/09/26,SPX,I,CBOE,3426747
2011/10/03,SPX,I,CBOE,5073264
2011/10/10,SPX,I,CBOE,4168927
2011/10/17,SPX,I,CBOE,5033232
2011/10/24,SPX,I,CBOE,4027287
2011/10/31,SPX,I,CBOE,3805007
2011/11/07,SPX,I,CBOE,3580654
2011/11/14,SPX,I,CBOE,5147706
2011/11/21,SPX,I,CBOE,3036992
2011/11/28,SPX,I,CBOE,3672107
2011/12/05,SPX,I,CBOE,3740909
2011/12/12,SPX,I,CBOE,4623522
2011/12/19,SPX,I,CBOE,2624416
2011/12/26,SPX,I,CBOE,1204955
2012/01/02,SPX,I,CBOE,1996339
2012/01/09,SPX,I,CBOE,2830708
2012/01/16,SPX,I,CBOE,3763644
2012/01/23,SPX,I,CBOE,2624497
2012/01/30,SPX,I,CBOE,3042079
2012/02/06,SPX,I,CBOE,3012663
2012/02/13,SPX,I,CBOE,4361612
2012/02/20,SPX,I,CBOE,2885425
2012/02/27,SPX,I,CBOE,2753532
2012/03/05,SPX,I,CBOE,3244371
2012/03/12,SPX,I,CBOE,3982982
2012/03/19,SPX,I,CBOE,3282597
2012/03/26,SPX,I,CBOE,3187156
2012/04/02,SPX,I,CBOE,2442581
2012/04/09,SPX,I,CBOE,3725575
2012/04/16,SPX,I,CBOE,3837337
2012/04/23,SPX,I,CBOE,2766378
2012/04/30,SPX,I,CBOE,2892913
2012/05/07,SPX,I,CBOE,3300405
2012/05/14,SPX,I,CBOE,6172663
2012/05/21,SPX,I,CBOE,3622282
2012/05/28,SPX,I,CBOE,3319818
2012/06/04,SPX,I,CBOE,4308194
2012/06/11,SPX,I,CBOE,3500073
2012/06/18,SPX,I,CBOE,3735306
2012/06/25,SPX,I,CBOE,2975757
2012/07/02,SPX,I,CBOE,2062302
2012/07/09,SPX,I,CBOE,3074298
2012/07/16,SPX,I,CBOE,3902637
2012/07/23,SPX,I,CBOE,3262354
2012/07/30,SPX,I,CBOE,3097997
2012/08/06,SPX,I,CBOE,2554819
2012/08/13,SPX,I,CBOE,3698311
2012/08/20,SPX,I,CBOE,3079025
2012/08/27,SPX,I,CBOE,2186125
2012/09/03,SPX,I,CBOE,2713113
2012/09/10,SPX,I,CBOE,4460203
2012/09/17,SPX,I,CBOE,4115786
2012/09/24,SPX,I,CBOE,3022198
2012/10/01,SPX,I,CBOE,2922209
2012/10/08,SPX,I,CBOE,2874390
2012/10/15,SPX,I,CBOE,4216948
2012/10/22,SPX,I,CBOE,3247104
2012/10/29,SPX,I,CBOE,1982172
2012/11/05,SPX,I,CBOE,4632312
2012/11/12,SPX,I,CBOE,5443353
2012/11/19,SPX,I,CBOE,2393374
2012/11/26,SPX,I,CBOE,2862790
2012/12/03,SPX,I,CBOE,3218558
2012/12/10,SPX,I,CBOE,3480461
2012/12/17,SPX,I,CBOE,5251375
2012/12/24,SPX,I,CBOE,2364556
2012/12/31,SPX,I,CBOE,3602082
2013/01/07,SPX,I,CBOE,3735967
2013/01/14,SPX,I,CBOE,4304722
2013/01/21,SPX,I,CBOE,3436212
2013/01/28,SPX,I,CBOE,3270110
2013/02/04,SPX,I,CBOE,3215512
2013/02/11,SPX,I,CBOE,3901391
2013/02/18,SPX,I,CBOE,3517830
2013/02/25,SPX,I,CBOE,4503002
2013/03/04,SPX,I,CBOE,4694561
2013/03/11,SPX,I,CBOE,4657141
2013/03/18,SPX,I,CBOE,3889103
2013/03/25,SPX,I,CBOE,2587880
2013/04/01,SPX,I,CBOE,3520435
2013/04/08,SPX,I,CBOE,4478042
2013/04/15,SPX,I,CBOE,5211586
2013/04/22,SPX,I,CBOE,3323774
2013/04/29,SPX,I,CBOE,3993011
2013/05/06,SPX,I,CBOE,4582956
2013/05/13,SPX,I,CBOE,5526223
2013/05/20,SPX,I,CBOE,4590240
2013/05/27,SPX,I,CBOE,2796692
2013/06/03,SPX,I,CBOE,5088914
2013/06/10,SPX,I,CBOE,3644236
2013/06/17,SPX,I,CBOE,6131973
2013/06/24,SPX,I,CBOE,4581642
2013/07/01,SPX,I,CBOE,2533578
2013/07/08,SPX,I,CBOE,5041648
2013/07/15,SPX,I,CBOE,4503961
2013/07/22,SPX,I,CBOE,2836145
2013/07/29,SPX,I,CBOE,3434755
2013/08/05,SPX,I,CBOE,3059292
2013/08/12,SPX,I,CBOE,4051798
2013/08/19,SPX,I,CBOE,3617353
2013/08/26,SPX,I,CBOE,3497763
2013/09/02,SPX,I,CBOE,2778543
2013/09/09,SPX,I,CBOE,3797266
2013/09/16,SPX,I,CBOE,5366962
2013/09/23,SPX,I,CBOE,3617761
2013/09/30,SPX,I,CBOE,4040637
2013/10/07,SPX,I,CBOE,4753397
2013/10/14,SPX,I,CBOE,6194879
2013/10/21,SPX,I,CBOE,3403646
2013/10/28,SPX,I,CBOE,3854163
2013/11/04,SPX,I,CBOE,3321071
2013/11/11,SPX,I,CBOE,4481120
2013/11/18,SPX,I,CBOE,3633779
2013/11/25,SPX,I,CBOE,2473958
2013/12/02,SPX,I,CBOE,3696879
2013/12/09,SPX,I,CBOE,3842846
2013/12/16,SPX,I,CBOE,5528799
2013/12/23,SPX,I,CBOE,2588032
2013/12/30,SPX,I,CBOE,3533130
2014/01/06,SPX,I,CBOE,3660342
2014/01/13,SPX,I,CBOE,4248576
2014/01/20,SPX,I,CBOE,3709980
2014/01/27,SPX,I,CBOE,4776249
2014/02/03,SPX,I,CBOE,5492503
2014/02/10,SPX,I,CBOE,4786633
2014/02/17,SPX,I,CBOE,3933158
2014/02/24,SPX,I,CBOE,3935909
2014/03/03,SPX,I,CBOE,4233959
2014/03/10,SPX,I,CBOE,4144544
2014/03/17,SPX,I,CBOE,4298444
2014/03/24,SPX,I,CBOE,3654260
2014/03/31,SPX,I,CBOE,4004601
2014/04/07,SPX,I,CBOE,4392860
2014/04/14,SPX,I,CBOE,3723752
2014/04/21,SPX,I,CBOE,3192861
2014/04/28,SPX,I,CBOE,2993504
2014/05/05,SPX,I,CBOE,3085850
2014/05/12,SPX,I,CBOE,4611748
2014/05/19,SPX,I,CBOE,3532708
2014/05/26,SPX,I,CBOE,3085053
2014/06/02,SPX,I,CBOE,4565852
2014/06/09,SPX,I,CBOE,3823566
2014/06/16,SPX,I,CBOE,4895840
2014/06/23,SPX,I,CBOE,3346830
2014/06/30,SPX,I,CBOE,3289665
2014/07/07,SPX,I,CBOE,3880256
2014/07/14,SPX,I,CBOE,4648404
2014/07/21,SPX,I,CBOE,3604807
2014/07/28,SPX,I,CBOE,4950726
2014/08/04,SPX,I,CBOE,4829953
2014/08/11,SPX,I,CBOE,4571292
2014/08/18,SPX,I,CBOE,4317414
2014/08/25,SPX,I,CBOE,3160842
2014/09/01,SPX,I,CBOE,3102364
2014/09/08,SPX,I,CBOE,3779198
2014/09/15,SPX,I,CBOE,4463546
2014/09/22,SPX,I,CBOE,4473580
2014/09/29,SPX,I,CBOE,5256611
2014/10/06,SPX,I,CBOE,5543342
2014/10/13,SPX,I,CBOE,9412666
2014/10/20,SPX,I,CBOE,5608894
2014/10/27,SPX,I,CBOE,5784052
2014/11/03,SPX,I,CBOE,4331054
2014/11/10,SPX,I,CBOE,4026291
2014/11/17,SPX,I,CBOE,4603093
2014/11/24,SPX,I,CBOE,2650589
2014/12/01,SPX,I,CBOE,3904907
2014/12/08,SPX,I,CBOE,5113509
2014/12/15,SPX,I,CBOE,7026968
2014/12/22,SPX,I,CBOE,2812708
2014/12/29,SPX,I,CBOE,3605386
2015/01/05,SPX,I,CBOE,5401090
2015/01/12,SPX,I,CBOE,4891865
2015/01/19,SPX,I,CBOE,3640832
2015/01/26,SPX,I,CBOE,4508921
2015/02/02,SPX,I,CBOE,4728701
2015/02/09,SPX,I,CBOE,4187508
2015/02/16,SPX,I,CBOE,3827161
2015/02/23,SPX,I,CBOE,3930697
2015/03/02,SPX,I,CBOE,3703258
2015/03/09,SPX,I,CBOE,4232933
2015/03/16,SPX,I,CBOE,4592604
2015/03/23,SPX,I,CBOE,4051747
2015/03/30,SPX,I,CBOE,3016612
2015/04/06,SPX,I,CBOE,3535649
2015/04/13,SPX,I,CBOE,4268939
2015/04/20,SPX,I,CBOE,3432903
2015/04/27,SPX,I,CBOE,4029396
2015/05/04,SPX,I,CBOE,4180119
2015/05/11,SPX,I,CBOE,3836108
2015/05/18,SPX,I,CBOE,3578916
2015/05/25,SPX,I,CBOE,3295043
2015/06/01,SPX,I,CBOE,4249620
2015/06/08,SPX,I,CBOE,4324534
2015/06/15,SPX,I,CBOE,4646501
2015/06/22,SPX,I,CBOE,3933542
2015/06/29,SPX,I,CBOE,4812812
2015/07/06,SPX,I,CBOE,5401246
2015/07/13,SPX,I,CBOE,5233394
2015/07/20,SPX,I,CBOE,4744774
2015/07/27,SPX,I,CBOE,4409556
2015/08/03,SPX,I,CBOE,4445107
2015/08/10,SPX,I,CBOE,4741510
2015/08/17,SPX,I,CBOE,7837170
2015/08/24,SPX,I,CBOE,9639648
2015/08/31,SPX,I,CBOE,5993061
2015/09/07,SPX,I,CBOE,4367471
2015/09/14,SPX,I,CBOE,5778690
2015/09/21,SPX,I,CBOE,5248665
2015/09/28,SPX,I,CBOE,5526653
2015/10/05,SPX,I,CBOE,5182058
2015/10/12,SPX,I,CBOE,4203181
2015/10/19,SPX,I,CBOE,4958069
2015/10/26,SPX,I,CBOE,4372695
2015/11/02,SPX,I,CBOE,4437679
2015/11/09,SPX,I,CBOE,4662174
2015/11/16,SPX,I,CBOE,4860345
2015/11/23,SPX,I,CBOE,2540393
2015/11/30,SPX,I,CBOE,4684695
2015/12/07,SPX,I,CBOE,4553798
2015/12/14,SPX,I,CBOE,5509798
2015/12/21,SPX,I,CBOE,2776258
2015/12/28,SPX,I,CBOE,2495085
2016/01/04,SPX,I,CBOE,5886798
2016/01/11,SPX,I,CBOE,6493034
2016/01/18,SPX,I,CBOE,5489022
2016/01/25,SPX,I,CBOE,4231684
2016/02/01,SPX,I,CBOE,4441083
2016/02/08,SPX,I,CBOE,5408910
2016/02/15,SPX,I,CBOE,4479859
2016/02/22,SPX,I,CBOE,4403281
2016/02/29,SPX,I,CBOE,5214640
2016/03/07,SPX,I,CBOE,4478391
2016/03/14,SPX,I,CBOE,5344383
2016/03/21,SPX,I,CBOE,3234858
2016/03/28,SPX,I,CBOE,4390696
2016/04/04,SPX,I,CBOE,3643527
2016/04/11,SPX,I,CBOE,4111440
2016/04/18,SPX,I,CBOE,4743910
2016/04/25,SPX,I,CBOE,3784707
2016/05/02,SPX,I,CBOE,4024065
2016/05/09,SPX,I,CBOE,4068133
2016/05/16,SPX,I,CBOE,5010101
2016/05/23,SPX,I,CBOE,4719088
2016/05/30,SPX,I,CBOE,3905567
2016/06/06,SPX,I,CBOE,4877397
2016/06/13,SPX,I,CBOE,6134015
2016/06/20,SPX,I,CBOE,5880338
2016/06/27,SPX,I,CBOE,7827173
2016/07/04,SPX,I,CBOE,4655945
2016/07/11,SPX,I,CBOE,6425873
2016/07/18,SPX,I,CBOE,4620563
2016/07/25,SPX,I,CBOE,4275290
2016/08/01,SPX,I,CBOE,4180676
2016/08/08,SPX,I,CBOE,3981942
2016/08/15,SPX,I,CBOE,4608053
2016/08/22,SPX,I,CBOE,4571952
2016/08/29,SPX,I,CBOE,4459470
2016/09/05,SPX,I,CBOE,4657517
2016/09/12,SPX,I,CBOE,6271093
2016/09/19,SPX,I,CBOE,5291673
2016/09/26,SPX,I,CBOE,4718352
2016/10/03,SPX,I,CBOE,3939647
2016/10/10,SPX,I,CBOE,5016170
2016/10/17,SPX,I,CBOE,4822660
2016/10/24,SPX,I,CBOE,4288679
2016/10/31,SPX,I,CBOE,6134578
2016/11/07,SPX,I,CBOE,7499264
2016/11/14,SPX,I,CBOE,6130379
2016/11/21,SPX,I,CBOE,4021187
2016/11/28,SPX,I,CBOE,5122503
2016/12/05,SPX,I,CBOE,7192563
2016/12/12,SPX,I,CBOE,7085200
2016/12/19,SPX,I,CBOE,4312678
2016/12/26,SPX,I,CBOE,3442997
2017/01/02,SPX,I,CBOE,4526680
2017/01/09,SPX,I,CBOE,4998317
2017/01/16,SPX,I,CBOE,4823346
2017/01/23,SPX,I,CBOE,5538732
2017/01/30,SPX,I,CBOE,5324837
2017/02/06,SPX,I,CBOE,5616926
2017/02/13,SPX,I,CBOE,7369927
2017/02/20,SPX,I,CBOE,5222416
2017/02/27,SPX,I,CBOE,7036371
2017/03/06,SPX,I,CBOE,5114305
2017/03/13,SPX,I,CBOE,5695396
2017/03/20,SPX,I,CBOE,6148167
2017/03/27,SPX,I,CBOE,5548732
2017/04/03,SPX,I,CBOE,4717929
2017/04/10,SPX,I,CBOE,4375105
2017/04/17,SPX,I,CBOE,5915044
2017/04/24,SPX,I,CBOE,6144552
2017/05/01,SPX,I,CBOE,4508378
2017/05/08,SPX,I,CBOE,5037407
2017/05/15,SPX,I,CBOE,6615769
2017/05/22,SPX,I,CBOE,4712957
2017/05/29,SPX,I,CBOE,4719336
2017/06/05,SPX,I,CBOE,4905527
2017/06/12,SPX,I,CBOE,5428972
2017/06/19,SPX,I,CBOE,4566212
2017/06/26,SPX,I,CBOE,5095463
2017/07/03,SPX,I,CBOE,3656425
2017/07/10,SPX,I,CBOE,4875876
2017/07/17,SPX,I,CBOE,5586363
2017/07/24,SPX,I,CBOE,4859871
2017/07/31,SPX,I,CBOE,4838455
2017/08/07,SPX,I,CBOE,6125847
2017/08/14,SPX,I,CBOE,7301318
2017/08/21,SPX,I,CBOE,5231418
2017/08/28,SPX,I,CBOE,5439316
2017/09/04,SPX,I,CBOE,4536984
2017/09/11,SPX,I,CBOE,6854199
2017/09/18,SPX,I,CBOE,5559234
2017/09/25,SPX,I,CBOE,5736263
2017/10/02,SPX,I,CBOE,7368868
2017/10/09,SPX,I,CBOE,5031804
2017/10/16,SPX,I,CBOE,6446790
2017/10/23,SPX,I,CBOE,6245119
2017/10/30,SPX,I,CBOE,5859676
2017/11/06,SPX,I,CBOE,6644931
2017/11/13,SPX,I,CBOE,6878683
2017/11/20,SPX,I,CBOE,4997383
2017/11/27,SPX,I,CBOE,8990681
2017/12/04,SPX,I,CBOE,6356835
2017/12/11,SPX,I,CBOE,7255665
2017/12/18,SPX,I,CBOE,5793541
2017/12/25,SPX,I,CBOE,3851605
2018/01/01,SPX,I,CBOE,5859390
2018/01/08,SPX,I,CBOE,7328784
2018/01/15,SPX,I,CBOE,7275560
2018/01/22,SPX,I,CBOE,7703788
2018/01/29,SPX,I,CBOE,7738704
2018/02/05,SPX,I,CBOE,12425941
2018/02/12,SPX,I,CBOE,9057800
2018/02/19,SPX,I,CBOE,5179359
2018/02/26,SPX,I,CBOE,8176054
2018/03/05,SPX,I,CBOE,6718772
2018/03/12,SPX,I,CBOE,7091625
2018/03/19,SPX,I,CBOE,8184319
2018/03/26,SPX,I,CBOE,7021505
2018/04/02,SPX,I,CBOE,7373199
2018/04/09,SPX,I,CBOE,6662692
2018/04/16,SPX,I,CBOE,7350649
2018/04/23,SPX,I,CBOE,5639383
2018/04/30,SPX,I,CBOE,6347751
2018/05/07,SPX,I,CBOE,6519258
2018/05/14,SPX,I,CBOE,5724870
2018/05/21,SPX,I,CBOE,5309648
2018/05/28,SPX,I,CBOE,4882469
2018/06/04,SPX,I,CBOE,5683611
2018/06/11,SPX,I,CBOE,6413023
2018/06/18,SPX,I,CBOE,5734063
2018/06/25,SPX,I,CBOE,6508145
2018/07/02,SPX,I,CBOE,3836026
2018/07/09,SPX,I,CBOE,6270017
2018/07/16,SPX,I,CBOE,6146970
2018/07/23,SPX,I,CBOE,6024384
2018/07/30,SPX,I,CBOE,5338776
2018/08/06,SPX,I,CBOE,6271013
2018/08/13,SPX,I,CBOE,6564341
2018/08/20,SPX,I,CBOE,5979982
2018/08/27,SPX,I,CBOE,7720230
2018/09/03,SPX,I,CBOE,5242987
2018/09/10,SPX,I,CBOE,5960131
2018/09/17,SPX,I,CBOE,7515380
2018/09/24,SPX,I,CBOE,6008379
2018/10/01,SPX,I,CBOE,6519595
2018/10/08,SPX,I,CBOE,10591729
2018/10/15,SPX,I,CBOE,8581204
2018/10/22,SPX,I,CBOE,10027793
2018/10/29,SPX,I,CBOE,8488360
2018/11/05,SPX,I,CBOE,7483522
2018/11/12,SPX,I,CBOE,8126845
2018/11/19,SPX,I,CBOE,5931281
